title,election,year,type,status,percent,topics,topics2,topics3,topics4,topics5,topics6
"
 Deposit of Public Moneys in Savings and Loan Associations",Primary,1976,Legislative Referendum,Pass (Yes votes: 74.2%),74.20%,Banking & Financial Services,Tax & Revenue,,,,
"
 School Bonds2",General,1958,Legislative Referendum,Pass (Yes votes: 74.2%),74.20%,Bond Measures,Education: PreK-12,,,,
"
 Claims Against Chartered Cities and Counties",General,1960,Legislative Referendum,Pass (Yes votes: 74.1%),74.10%,Local Government,,,,,
"
 Water Conservation And Water Quality Bond Law Of 1986",Primary,1986,Legislative Referendum,Pass (Yes votes: 74.1%),74.10%,Bond Measures,Environmental Protection,Natural Resources,,,
"
 Prisoners: Joint Venture Program: Unemployment Benefits, Parole.",Primary,1996,Legislative Referendum,Pass (Yes votes: 73.9%),73.90%,Criminal Justice,Labor & Employment,,,,
"
 Stock Ownership by Cities in Mutual Water Companies",General,1934,Legislative Referendum,Pass (Yes votes: 73.9%),73.90%,Local Government,,,,,
"
 Veterans' Bond Act of 1958",General,1958,Legislative Referendum,Pass (Yes votes: 73.9%),73.90%,Bond Measures,Military & Veterans Affairs,,,,
"
 California State Park Bonds Act",General,1928,Legislative Referendum,Pass (Yes votes: 73.8%),73.80%,Bond Measures,Natural Resources,,,,
"
 Election at Primary",General,1926,Legislative Referendum,Pass (Yes votes: 73.8%),73.80%,Elections,,,,,
"
 Framing County Charters2",General,1956,Legislative Referendum,Pass (Yes votes: 73.8%),73.80%,Local Government,,,,,
"
 Boxing and Wrestling Contests3",General,1966,Legislative Referendum,Pass (Yes votes: 73.6%),73.60%,Business & Commerce,,,,,
"
 Chiropractors5",Primary,1972,Legislative Referendum,Pass (Yes votes: 73.6%),73.60%,Health,,,,,
"
 Murder. BART and CSU Peace Officers. Legislative Initiative Amendment.",Primary,2000,Legislative Referendum,Pass (Yes votes: 73.6%),73.60%,Criminal Justice,,,,,
"
 Unemployment Relief Bonds1",Special,1933,Legislative Referendum,Pass (Yes votes: 73.6%),73.60%,Bond Measures,Labor & Employment,Tax & Revenue,,,
"
 California Safe Drinking Water Bond Law of 1984",General,1984,Legislative Referendum,Pass (Yes votes: 73.5%),73.50%,Bond Measures,Environmental Protection,Natural Resources,,,
"
 Constitutional Revision1",General,1966,Legislative Referendum,Pass (Yes votes: 73.5%),73.50%,Civil & Constitutional Law,Judiciary,Legislatures,State Government,,
"
 Elected County Assessor",Primary,1988,Legislative Referendum,Pass (Yes votes: 73.5%),73.50%,Local Government,,,,,
"
 Acquisition of Land for Public Improvements",General,1928,Legislative Referendum,Pass (Yes votes: 73.4%),73.40%,Natural Resources,State Government,,,,
"
 Church Exemptions: Property Under Construction",General,1954,Legislative Referendum,Pass (Yes votes: 73.4%),73.40%,Tax & Revenue,,,,,
"
 County Assessment Appeals Boards",General,1966,Legislative Referendum,Pass (Yes votes: 73.4%),73.40%,Local Government,Tax & Revenue,,,,
"
 Fish and Game Funds Restricted",General,1942,Legislative Referendum,Pass (Yes votes: 73.4%),73.40%,Budgets,Natural Resources,,,,
"
 Surplus Property. Legislative Constitutional Amendment.",General,2004,Legislative Referendum,Pass (Yes votes: 73.3%),73.30%,State Government,Tax & Revenue,,,,
"
 Welfare Exemption: Property Under Construction",General,1954,Legislative Referendum,Pass (Yes votes: 73.3%),73.30%,Human Services,Tax & Revenue,,,,
"
 Official State Language. Initiative Constitutional Amendment",General,1986,Initiative,Pass (Yes votes: 73.2%),73.20%,Civil & Constitutional Law,State Government,,,,
"
 Taxation of Short Line Steam Railroads",General,1926,Legislative Referendum,Pass (Yes votes: 73.2%),73.20%,Tax & Revenue,Transportation,,,,
"
 Taxation3",General,1928,Legislative Referendum,Pass (Yes votes: 73.1%),73.10%,Tax & Revenue,,,,,
"
 Clean Water Bond Law",General,1984,Legislative Referendum,Pass (Yes votes: 72.9%),72.90%,Bond Measures,Environmental Protection,Natural Resources,,,
"
 Improving California Olympiad Bond Act",General,1928,Legislative Referendum,Pass (Yes votes: 72.9%),72.90%,Bond Measures,State Government,,,,
"
 Land Titles. Torrans Act.1",General,1950,Legislative Referendum,Pass (Yes votes: 72.9%),72.90%,Land Use/Property Rights,,,,,
"
 Charters for Counties and Cities",General,1974,Legislative Referendum,Pass (Yes votes: 72.8%),72.80%,Local Government,,,,,
"
 Elections: Ballot Designation of Party Affiliations",General,1952,Legislative Referendum,Pass (Yes votes: 72.8%),72.80%,Elections,,,,,
"
 Permitting Comment on Evidence and Failure of Defendant to Testify in Criminal Cases",General,1934,Initiative,Pass (Yes votes: 72.8%),72.80%,Criminal Justice,,,,,
"
 School Bonds6",Special,1949,Legislative Referendum,Pass (Yes votes: 72.8%),72.80%,Bond Measures,Education: PreK-12,,,,
"
 Retirement Benefits For Nonjudicial And Nonlegislative Elected State Constitutional Officers",General,1986,Legislative Referendum,Pass (Yes votes: 72.7%),72.70%,Labor & Employment,State Government,,,,
"
 Murder: Special Circumstances. Legislative Initiative Amendment.",Primary,2000,Legislative Referendum,Pass (Yes votes: 72.6%),72.60%,Criminal Justice,,,,,
"
 Workmen's Compensation1",General,1972,Legislative Referendum,Pass (Yes votes: 72.6%),72.60%,Labor & Employment,,,,,
"
 Permanence of Municipal Functions by County Officers",General,1964,Legislative Referendum,Pass (Yes votes: 72.5%),72.50%,Local Government,,,,,
"
 Court Consolidation",General,2002,Legislative Referendum,Pass (Yes votes: 72.4%),72.40%,Judiciary,,,,,
"
 Land Titles. Torrans Act.2",General,1954,Legislative Referendum,Pass (Yes votes: 72.4%),72.40%,Land Use/Property Rights,,,,,
"
 Veterans Bond Act of 1974",Primary,1974,Legislative Referendum,Pass (Yes votes: 72.3%),72.30%,Bond Measures,Military & Veterans Affairs,,,,
"
 College Exemption: Extension of",General,1962,Legislative Referendum,Pass (Yes votes: 72.2%),72.20%,Education: Higher Ed,,,,,
"
 Daylight Saving Time. Amendment to Daylight Saving Time Initiative Act",Primary,1962,Legislative Referendum,Pass (Yes votes: 72.2%),72.20%,Civil & Constitutional Law,,,,,
"
 Constitutional Provision Relating to State Fiscal Affairs",Special,1949,Legislative Referendum,Pass (Yes votes: 72.1%),72.10%,Civil & Constitutional Law,,,,,
"
 Constitutional Provisions for Adoption of 1879 Constitution",Special,1949,Legislative Referendum,Pass (Yes votes: 72.1%),72.10%,Civil & Constitutional Law,,,,,
"
 Civil and Criminal Appeals",General,1956,Legislative Referendum,Pass (Yes votes: 72.0%),72.00%,Criminal Justice,,,,,
"
 Hazardous Substance Cleanup Bond Act of 1984",General,1984,Legislative Referendum,Pass (Yes votes: 72.0%),72.00%,Bond Measures,Environmental Protection,,,,
"
 Motor Vehicle Registration Fees",General,1928,Popular Referendum,Pass (Yes votes: 71.9%),71.90%,Tax & Revenue,Transportation,,,,
"
 Reapportionment Commission2",General,1942,Legislative Referendum,Pass (Yes votes: 71.9%),71.90%,Redistricting,State Government,,,,
"
 Resident Noncitizens: Property Ownership",General,1954,Legislative Referendum,Pass (Yes votes: 71.9%),71.90%,Civil & Constitutional Law,Land Use/Property Rights,,,,
"
 Tax Rates on Unsecured Property",General,1976,Legislative Referendum,Pass (Yes votes: 71.9%),71.90%,Tax & Revenue,,,,,
"
 Increased Sentences. Repeat Offenders. Initiative Statute.",General,1994,Initiative,Pass (Yes votes: 71.8%),71.80%,Criminal Justice,,,,,
"
 School Bonds3",Primary,1960,Legislative Referendum,Pass (Yes votes: 71.8%),71.80%,Bond Measures,Education: PreK-12,,,,
"
 California Safe Drinking Water Bond Act Of 1988",General,1988,Legislative Referendum,Pass (Yes votes: 71.7%),71.70%,Bond Measures,Environmental Protection,Natural Resources,,,
"
 Effective Date of 1933 Statutes",Special,1949,Legislative Referendum,Pass (Yes votes: 71.7%),71.70%,Civil & Constitutional Law,,,,,
"
 Property Taxes: Contaminated Property",General,1998,Legislative Referendum,Pass (Yes votes: 71.7%),71.70%,Environmental Protection,Tax & Revenue,,,,
"
 Personal Property Brokers2",Special,1939,Popular Referendum,Pass (Yes votes: 71.6%),71.60%,Business & Commerce,,,,,
"
 Revision of Tax Provisions",Special,1949,Legislative Referendum,Pass (Yes votes: 71.6%),71.60%,Tax & Revenue,,,,,
"
 Right to Have Vote Counted. Legislative Constitutional Amendment.",Primary,2002,Legislative Referendum,Pass (Yes votes: 71.6%),71.60%,Elections,,,,,
"
 Taxation: Exemption of Vessels",General,1954,Legislative Referendum,Pass (Yes votes: 71.6%),71.60%,Tax & Revenue,Transportation,,,,
"
 Usury",General,1970,Legislative Referendum,Pass (Yes votes: 71.6%),71.60%,Banking & Financial Services,,,,,
"
 College Exemption: Property Under Construction",General,1954,Legislative Referendum,Pass (Yes votes: 71.4%),71.40%,Education: Higher Ed,,,,,
"
 Veterans' Validating Act",General,1922,Initiative,Pass (Yes votes: 71.3%),71.30%,Bond Measures,Military & Veterans Affairs,,,,
"
 Property Tax Statement",General,1966,Legislative Referendum,Pass (Yes votes: 71.2%),71.20%,Tax & Revenue,,,,,
"
 The California Balanced Budget Act. Legislative Constitutional Amendment.",Primary,2004,Legislative Referendum,Pass (Yes votes: 71.2%),71.20%,Budgets,,,,,
"
 Murder Of A Peace Officer. Criminal Penalties. Special Circumstance. Peace Officer Definition. Legislative Initiative Amendment",Primary,1990,Legislative Referendum,Pass (Yes votes: 71.1%),71.10%,Criminal Justice,,,,,
"
 Murder. Penalty.",General,1978,Initiative,Pass (Yes votes: 71.1%),71.10%,Criminal Justice,,,,,
"
 Personal Property Brokers1",Special,1939,Popular Referendum,Pass (Yes votes: 71.1%),71.10%,Business & Commerce,,,,,
"
 State Budget1",General,1922,Initiative,Pass (Yes votes: 71.1%),71.10%,Budgets,,,,,
"
 County Boards of Education",General,1946,Legislative Referendum,Pass (Yes votes: 71.0%),71.00%,Education: PreK-12,Local Government,,,,
"
 Repeal of Educational Poll Tax",General,1946,Legislative Referendum,Pass (Yes votes: 71.0%),71.00%,Civil & Constitutional Law,Education: PreK-12,,,,
"
 Unemployment Relief Bonds2",General,1934,Legislative Referendum,Pass (Yes votes: 71.0%),71.00%,Bond Measures,Labor & Employment,,,,
"
 San Francisco Harbor Improvement Act of 1913",General,1914,Legislative Referendum,Pass (Yes votes: 70.9%),70.90%,Bond Measures,Transportation,,,,
"
 Veteran's Property Tax Exemption.",General,1988,Legislative Referendum,Pass (Yes votes: 70.8%),70.80%,Tax & Revenue,,,,,
"
 Repeal of Suspension Provision",Special,1949,Legislative Referendum,Pass (Yes votes: 70.7%),70.70%,Business & Commerce,Civil & Constitutional Law,Criminal Justice,,,
"
 Exempting Property Damaged by Earthquake in Los Angeles and Orange Counties",Special,1933,Legislative Referendum,Pass (Yes votes: 70.6%),70.60%,Tax & Revenue,,,,,
"
 Judiciary Disqualifications",General,1930,Legislative Referendum,Pass (Yes votes: 70.6%),70.60%,Judiciary,,,,,
"
 Justice Courts. Eligibility.",General,1988,Legislative Referendum,Pass (Yes votes: 70.6%),70.60%,Judiciary,,,,,
"
 Clean Water Bond Law of 1974",Primary,1974,Legislative Referendum,Pass (Yes votes: 70.5%),70.50%,Bond Measures,Environmental Protection,Natural Resources,,,
"
 Constitutional Convention of 1878-1879",Special,1949,Legislative Referendum,Pass (Yes votes: 70.5%),70.50%,Civil & Constitutional Law,,,,,
"
 Declaration of Rights",General,1974,Legislative Referendum,Pass (Yes votes: 70.5%),70.50%,Civil & Constitutional Law,Criminal Justice,Land Use/Property Rights,,,
"
 Irrigation District Bonds",General,1912,Legislative Referendum,Pass (Yes votes: 70.5%),70.50%,Agriculture,Bond Measures,Local Government,,,
"
 Property Taxation. Disasters.",Primary,1986,Legislative Referendum,Pass (Yes votes: 70.5%),70.50%,Tax & Revenue,,,,,
"
 Sex Offenders. Sexually Violent Predators. Punishment, Residence Restrictions and Monitoring. Initiative Statute.",General,2006,Initiative,Pass (Yes votes: 70.5%),70.50%,Criminal Justice,,,,,
"
 Voting Materials in English Only.",General,1984,Initiative,Pass (Yes votes: 70.5%),70.50%,Elections,,,,,
"
 Boxing and Wrestling Matches Regulated",General,1942,Legislative Referendum,Pass (Yes votes: 70.4%),70.40%,Business & Commerce,Military & Veterans Affairs,,,,
"
 Attorney General",General,1934,Initiative,Pass (Yes votes: 70.3%),70.30%,Criminal Justice,State Government,,,,
"
 Judges' Salaries1",General,1980,Legislative Referendum,Pass (Yes votes: 70.3%),70.30%,Judiciary,,,,,
"
 Bingo",Primary,1976,Legislative Referendum,Pass (Yes votes: 70.2%),70.20%,Human Services,Local Government,,,,
"
 Superior Judges: Vacancies",General,1952,Legislative Referendum,Pass (Yes votes: 70.2%),70.20%,Judiciary,,,,,
"
 Taxation of Insurance Companies2",General,1938,Legislative Referendum,Pass (Yes votes: 70.0%),70.00%,Insurance,Tax & Revenue,,,,
"
 Water Rights of Government Agencies",General,1954,Legislative Referendum,Pass (Yes votes: 69.9%),69.90%,Local Government,Natural Resources,State Government,,,
"
 Political Reform Initiative",Primary,1974,Initiative,Pass (Yes votes: 69.8%),69.80%,Ethics/Lobbying/Campaign Finance,,,,,
"
 Partial Constitutional Revision: Social Welfare",General,1970,Legislative Referendum,Pass (Yes votes: 69.7%),69.70%,Civil & Constitutional Law,Human Services,,,,
"
 Taxation of Insurance Companies1",General,1942,Legislative Referendum,Pass (Yes votes: 69.7%),69.70%,Insurance,Tax & Revenue,,,,
"
 Oaths of Office",General,1952,Legislative Referendum,Pass (Yes votes: 69.6%),69.60%,Judiciary,Legislatures,State Government,,,
"
 Giving Appellate Courts Trial Court Powers",General,1926,Legislative Referendum,Pass (Yes votes: 69.4%),69.40%,Judiciary,,,,,
"
 State School Building Aid Bond Law of 1964",General,1964,Legislative Referendum,Pass (Yes votes: 69.4%),69.40%,Bond Measures,Education: PreK-12,,,,
"
 Chiropractors: Rules",General,1970,Legislative Referendum,Pass (Yes votes: 69.3%),69.30%,Health,,,,,
"
 Assessed Valuation. Replacement Dwellings.",General,1988,Legislative Referendum,Pass (Yes votes: 69.1%),69.10%,Tax & Revenue,,,,,
"
 Constitutional Amendments. Naming Corporations",General,1964,Legislative Referendum,Pass (Yes votes: 69.1%),69.10%,Elections-Initiative Process,,,,,
"
 Exempting Forest Trees from Taxation",General,1926,Legislative Referendum,Pass (Yes votes: 69.1%),69.10%,Natural Resources,Tax & Revenue,,,,
"
 Transportation Congestion Improvement Act. Allocation of Existing Motor Vehicle Fuel Sales and Use Tax Revenues for Transportation Purposes Only. Legislative Constitutional Amendment.",Primary,2002,Legislative Referendum,Pass (Yes votes: 69.1%),69.10%,Budgets,Transportation,,,,
"
 Public Utilities",General,1974,Legislative Referendum,Pass (Yes votes: 69.0%),69.00%,Energy & Electric Utilities,,,,,
"
 Wright Act Repeal",General,1932,Initiative,Pass (Yes votes: 68.9%),68.90%,Agriculture,Local Government,,,,
"
 Residence of Voters",General,1948,Legislative Referendum,Pass (Yes votes: 68.7%),68.70%,Elections,,,,,
"
 State Aid to Institutions",General,1920,Legislative Referendum,Pass (Yes votes: 68.7%),68.70%,Budgets,Human Services,,,,
"
 Constitutional Amendments and Laws. Naming Persons to Office.",General,1950,Legislative Referendum,Pass (Yes votes: 68.6%),68.60%,Civil & Constitutional Law,Elections-Initiative Process,,,,
"
 School Assignment and Transportation of Pupils",Special,1979,Legislative Referendum,Pass (Yes votes: 68.6%),68.60%,Education: PreK-12,,,,,
"
 Taxation of Federal Property",Special,1944,Legislative Referendum,Pass (Yes votes: 68.6%),68.60%,Human Services,Tax & Revenue,,,,
"
 Veterans' Tax Exemption: Residency Requirement",General,1964,Legislative Referendum,Pass (Yes votes: 68.5%),68.50%,Military & Veterans Affairs,Tax & Revenue,,,,
"
 Veterans' Welfare Bond Act of 1921",General,1922,Legislative Referendum,Pass (Yes votes: 68.5%),68.50%,Bond Measures,Military & Veterans Affairs,,,,
"
 Taxation and State Funds",General,1974,Legislative Referendum,Pass (Yes votes: 68.4%),68.40%,Tax & Revenue,,,,,
"
 Elections and Presidential Primary",General,1972,Legislative Referendum,Pass (Yes votes: 68.3%),68.30%,Tax & Revenue,,,,,
"
 County Government",Special,1933,Legislative Referendum,Pass (Yes votes: 68.2%),68.20%,Local Government,,,,,
"
 Framing County Charters1",General,1954,Legislative Referendum,Pass (Yes votes: 68.2%),68.20%,Local Government,,,,,
"
 Teachers' Retirement Fund: Investments",General,1970,Legislative Referendum,Pass (Yes votes: 68.2%),68.20%,Education: PreK-12,Labor & Employment,,,,
"
 Authorizing Quasi-Public Corporations to Extend Term of Existence",General,1928,Legislative Referendum,Pass (Yes votes: 68.1%),68.10%,Business & Commerce,Local Government,,,,
"
 Subversive Persons and Group",General,1952,Legislative Referendum,Pass (Yes votes: 68.1%),68.10%,Civil & Constitutional Law,,,,,
